PKD;NAZWA_PKD;NUMER_NAZWA_PKD;WSKAZNIK;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OG;OGÓŁEM;OG OGÓŁEM ;EN Liczba jednostek gospodarczych ;46 396,00;47 048,00;48 165,00;53 148,00;53 837,00;53 220,00;54 189,00;54 587,00;56 432,00;56 628,00;55 092,00;56 630,00;53 484,00;53 282,00;53 340,00;52 401,00;51 577,00;53 067,00;54 654,00;55 521,00
OG;OGÓŁEM;OG OGÓŁEM ;PEN Liczba rentownych jednostek gospodarczych ;35 860,00;38 037,00;40 406,00;42 236,00;42 212,00;42 205,00;42 870,00;42 463,00;44 895,00;46 063,00;45 601,00;46 222,00;43 777,00;43 813,00;43 895,00;42 214,00;43 718,00;44 390,00;44 695,00;44 125,00
OG;OGÓŁEM;OG OGÓŁEM ;GS Przychody ogółem ;1 679 774,30;1 887 513,95;2 175 236,47;2 390 107,31;2 405 723,48;2 582 441,93;2 922 539,49;3 017 653,12;3 035 006,50;3 112 540,99;3 189 438,24;3 305 320,47;3 541 836,79;3 787 180,12;3 979 998,59;3 911 287,06;4 750 327,02;6 117 768,14;6 351 348,37;6 238 028,47
OG;OGÓŁEM;OG OGÓŁEM ;PNPM Przychody netto ;bd;1 800 524,49;2 069 741,36;2 275 283,14;2 285 113,75;2 462 658,11;2 767 060,70;2 866 889 040,00;2 901 070,66;2 973 790,39;3 058 897,72;3 164 190,75;3 388 663,51;3 635 351,26;3 831 021,11;3 753 990,60;4 531 666,61;5 846 114,05;6 099 586,53;5 988 464,75
OG;OGÓŁEM;OG OGÓŁEM ;GS (I) Przychody netto ze sprzedaży i zrównane z nimi ;1 614 314,24;1 818 552,67;2 093 564,43;2 301 248,65;2 300 467,59;2 488 948,97;2 800 280,73;2 898 345,90;2 927 990,88;3 001 543,92;3 085 526,16;3 191 434,94;3 419 906,13;3 673 292,12;3 868 160,65;3 779 952,08;4 582 059,03;5 911 857,94;6 112 151,56;6 012 376,90
OG;OGÓŁEM;OG OGÓŁEM ;Przych. fin. Przychody finansowe ;bd;bd;35 581,18;40 433,65;50 476,74;42 823,16;65 641,99;59 780,67;47 296,36;55 141,46;45 739,62;51 688,35;60 658,53;52 111,15;49 876,94;52 601,09;65 592,12;96 124,68;120 903,55;112 899,06
OG;OGÓŁEM;OG OGÓŁEM ;PPO Pozostałe przychody operacyjne ;bd;40 527,33;46 090,86;48 425,00;54 779,15;50 669,81;56 616,76;59 526,55;59 719,26;55 855,62;58 172,46;62 197,18;61 272,12;61 776,85;61 961,00;78 733,89;102 675,87;109 785,53;118 293,26;112 752,51
OG;OGÓŁEM;OG OGÓŁEM ;NP Wynik finansowy netto (zysk netto) ;63 823,24;80 951,53;109 679,75;76 826,83;97 170,88;111 963,00;113 370,45;107 630,05;110 801,19;115 979,51;99 476,42;132 489,38;153 611,12;143 435,08;139 061,43;136 128,77;257 676,00;297 244,35;253 932,29;227 243,76
OG;OGÓŁEM;OG OGÓŁEM ;OP Wynik na działalności operacyjnej ;82 328,77;102 808,97;128 694,23;124 423,54;121 380,05;134 393,28;153 629,95;127 910,48;138 331,79;147 087,75;140 508,43;169 755,95;176 275,06;181 919,41;182 184,63;190 642,14;297 481,16;381 812,24;334 704,53;291 467,37
OG;OGÓŁEM;OG OGÓŁEM ;POS Wynik na sprzedaży ;81 131,16;94 902,91;118 406,07;118 698,05;116 866,43;126 792,42;143 431,07;123 642,51;126 620,55;137 388,82;145 268,62;160 523,79;167 900,32;175 854,68;175 956,36;183 578,54;256 106,69;357 050,49;328 331,24;292 356,96
OG;OGÓŁEM;OG OGÓŁEM ;CF Nadwyżka finansowa ;149 742,91;166 959,76;204 577,66;206 219,15;218 038,95;228 374,41;264 664,01;246 933,61;249 234,89;265 880,79;251 624,13;284 807,53;309 015,21;306 440,66;317 007,43;324 311,23;442 715,84;545 146,38;552 191,22;516 782,47
OG;OGÓŁEM;OG OGÓŁEM ;TC Koszty ogółem ;1 599 892,42;1 788 129,11;2 043 397,87;2 293 669,98;2 287 926,00;2 448 526,32;2 785 013,93;2 889 375,59;2 903 362,25;2 976 891,55;3 067 084,73;3 146 033,37;3 358 862,59;3 613 705,00;3 810 125,62;3 743 552,35;4 442 306,51;5 753 362,36;6 036 264,79;5 958 117,16
OG;OGÓŁEM;OG OGÓŁEM ;OFE Pozostałe koszty finansowe ;12 334,86;10 257,42;12 484,22;34 585,81;23 357,89;15 886,21;41 755,80;20 085,86;18 214,88;26 708,56;17 753,75;21 354,04;19 568,36;21 266,56;14 379,54;29 328,10;20 623,08;44 031,72;52 717,19;32 352,27
OG;OGÓŁEM;OG OGÓŁEM ;IP Odsetki do zapłacenia ;15 690,39;14 888,88;17 180,64;23 504,88;22 162,10;22 251,49;26 548,35;30 820,20;29 144,44;27 941,14;25 822,18;26 215,92;25 805,53;26 045,18;28 444,84;24 834,60;22 733,58;53 270,92;72 492,13;73 126,85
OG;OGÓŁEM;OG OGÓŁEM ;DEPR Amortyzacja ;57 894,41;60 861,93;65 233,05;71 301,63;75 348,09;78 273,71;82 989,41;88 397,50;91 074,39;95 251,58;108 571,78;104 748,19;110 030,20;115 693,83;135 121,63;134 019,75;141 683,18;150 599,40;173 049,61;184 059,59
OG;OGÓŁEM;OG OGÓŁEM ;IO Wartość nakładów inwestycyjnych ;78 829,28;95 778,50;124 595,84;129 724,43;117 859,42;113 472,99;126 470,49;123 628,61;128 377,65;145 372,63;162 727,49;144 832,85;151 179,97;166 885,13;188 000,74;174 829,65;197 755,86;230 204,44;262 721,38;247 568,68
OG;OGÓŁEM;OG OGÓŁEM ;NWC Kapitał obrotowy ;39 282,65;57 668,67;79 270,77;61 827,44;90 560,04;113 040,42;122 179,54;105 939,49;94 346,32;117 543,54;104 066,03;121 328,79;130 387,66;116 168,51;118 608,83;133 504,69;268 176,94;354 521,19;342 503,69;346 762,90
OG;OGÓŁEM;OG OGÓŁEM ;C Środki pieniężne i pap. wart. ;122 484,68;149 479,83;168 467,55;191 571,14;218 031,74;173 293,80;195 916,68;184 209,14;198 296,21;223 307,15;231 028,84;249 315,46;255 494,72;258 487,37;283 391,79;340 479,38;374 473,17;411 815,08;479 011,49;492 757,33
OG;OGÓŁEM;OG OGÓŁEM ;LTL Zobowiązania długoterminowe ;163 482,50;178 634,33;198 740,58;229 673,27;258 265,42;272 682,84;322 202,46;328 562,48;363 768,17;425 770,70;443 237,50;492 393,91;490 099,28;501 035,21;560 733,85;640 602,92;677 752,80;733 319,28;741 956,57;753 885,39
OG;OGÓŁEM;OG OGÓŁEM ;STL Zobowiązania krótkoterminowe ;381 431,57;425 933,57;488 064,77;572 007,73;556 918,03;596 806,72;674 526,86;667 610,94;689 996,29;701 740,68;741 736,24;803 908,10;864 517,23;944 372,40;1 001 074,93;1 020 762,56;1 251 981,67;1 486 748,44;1 520 872,05;1 556 052,24
OG;OGÓŁEM;OG OGÓŁEM ;LTC Długoterminowe kredyty bankowe ;83 963,42;91 863,20;103 374,19;118 719,89;131 497,70;129 169,13;230 935,93;232 048,98;257 124,95;296 101,22;309 537,69;345 860,41;339 593,70;357 316,77;391 336,00;406 253,07;422 593,90;478 783,48;489 737,83;527 396,37
OG;OGÓŁEM;OG OGÓŁEM ;STC Krótkoterminowe kredyty bankowe ;62 602,35;71 114,90;80 647,70;111 171,57;99 294,87;97 591,22;150 542,58;166 553,48;175 957,86;172 472,10;183 080,82;195 149,17;213 289,50;240 452,96;255 938,50;254 301,02;274 044,88;333 128,02;350 205,27;358 808,76
OG;OGÓŁEM;OG OGÓŁEM ;INV Zapasy ;131 631,45;151 243,77;187 362,54;209 622,81;204 264,11;215 679,80;251 759,71;259 446,07;263 060,97;272 844,30;285 076,68;304 232,71;327 049,93;363 065,62;383 699,02;391 140,40;502 020,53;638 730,43;610 346,13;613 335,97
OG;OGÓŁEM;OG OGÓŁEM ;REC Należności krótkoterminowe ;251 593,38;277 368,76;317 129,17;347 123,78;348 519,03;383 813,01;430 099,26;428 574,31;433 126,81;448 974,36;472 330,06;511 968,79;545 313,31;576 168,58;601 089,56;598 739,43;780 351,99;959 091,88;959 887,55;960 445,01
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;EN Liczba jednostek gospodarczych ;1 500,00;1 509,00;1 472,00;1 402,00;1 394,00;1 354,00;1 350,00;1 202,00;1 273,00;1 274,00;1 162,00;1 134,00;1 039,00;1 440,00;1 401,00;1 335,00;1 302,00;1 272,00;1 257,00;1 269,00
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;PEN Liczba rentownych jednostek gospodarczych ;1 216,00;1 290,00;1 291,00;1 148,00;1 157,00;1 158,00;1 128,00;1 063,00;1 079,00;1 084,00;971;935;878;1 248,00;1 178,00;1 156,00;1 147,00;1 163,00;1 101,00;1 068,00
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;GS Przychody ogółem ;15 349,29;16 708,84;20 235,38;20 133,62;20 945,79;22 848,62;27 384,88;29 932,13;31 015,96;31 922,27;32 434,32;29 124,00;28 095,17;30 548,82;32 074,28;31 119,91;35 795,11;45 872,10;49 302,42;48 052,93
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;PNPM Przychody netto ;bd;14 611,22;17 258,51;17 041,95;18 113,14;19 783,98;23 564,22;25 571 020,00;27 343,58;28 231,97;29 029,64;25 667,99;25 026,93;27 159,92;28 423,41;27 792,76;32 504,38;41 949,42;44 890,78;43 080,34
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;GS (I) Przychody netto ze sprzedaży i zrównane z nimi ;14 177,05;15 225,18;18 285,07;18 235,32;18 946,37;20 512,85;24 724,02;27 103,20;28 535,83;29 274,50;30 236,28;27 101,90;26 526,75;28 818,33;30 225,40;29 223,06;33 933,72;43 667,00;46 611,94;45 104,55
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;Przych. fin. Przychody finansowe ;bd;bd;684,69;521,13;413,12;639,62;862,32;864,98;575,47;660,37;493,77;410,01;190,83;264,11;271,29;370,78;166,02;532,13;730,8;834,34
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;PPO Pozostałe przychody operacyjne ;bd;1 066,99;1 265,62;1 377,17;1 586,30;1 696,14;1 798,53;1 963,95;1 904,66;1 987,40;1 704,27;1 612,09;1 377,59;1 466,38;1 577,59;1 526,07;1 695,37;1 672,98;1 959,68;2 114,04
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;NP Wynik finansowy netto (zysk netto) ;279,51;116,82;1 500,25;706,91;1 542,89;1 821,84;3 004,21;3 342,99;3 376,81;3 077,60;1 977,43;979,72;1 628,66;1 496,97;1 831,53;1 630,61;2 186,85;4 143,82;3 597,86;3 949,52
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;OP Wynik na działalności operacyjnej ;380,78;67,87;1 290,30;912,99;1 697,62;1 719,31;2 954,11;3 106,87;3 625,67;5 207,54;4 815,10;2 220,88;1 960,55;1 601,69;2 003,89;1 820,05;2 356,87;4 323,83;3 674,86;3 898,72
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;POS Wynik na sprzedaży ;-26,39;-672,79;405,16;-114,05;476,17;416,45;1 623,29;1 700,68;2 191,22;3 852,83;3 643,06;1 115,85;916,15;538,94;877,2;666,27;1 123,21;3 470,08;2 854,53;2 362,82
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;CF Nadwyżka finansowa ;1 527,09;1 282,63;2 798,62;2 209,95;3 042,50;3 197,07;4 762,89;4 879,05;5 322,89;4 854,57;3 626,50;2 668,48;3 116,43;3 078,31;3 459,81;3 229,26;3 753,55;5 907,78;5 511,63;6 030,45
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;TC Koszty ogółem ;15 016,60;16 527,02;18 663,41;19 315,70;19 348,74;20 882,47;24 304,53;26 393,96;27 523,98;26 652,29;27 466,09;26 881,50;26 335,77;28 990,69;30 083,67;29 353,58;33 492,51;41 406,76;45 295,80;43 648,64
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;OFE Pozostałe koszty finansowe ;281,97;159,02;237,3;390,14;311,09;193,89;499,88;176,27;482,25;292,32;152,46;183,91;51,44;62,97;42,4;74,86;60,98;92,16;82,98;64,23
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;IP Odsetki do zapłacenia ;140,38;138,58;149,94;202,44;190,56;180,27;195,51;230,11;219,76;187,96;174,54;173,3;178,48;188,74;207,39;153,9;150,48;272,07;305,15;259,2
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;DEPR Amortyzacja ;825,23;868,21;911,14;910,47;997,97;1 001,07;1 063,29;1 129,69;1 244,09;1 296,69;1 322,08;1 331,55;1 257,84;1 329,62;1 378,50;1 369,89;1 355,25;1 399,74;1 525,64;1 757,51
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;IO Wartość nakładów inwestycyjnych ;1 432,20;1 453,47;1 608,09;1 608,80;1 215,61;1 576,82;2 310,24;2 515,31;2 553,71;2 403,25;2 105,76;1 724,53;1 650,96;1 038,55;1 026,72;1 013,32;1 076,11;1 227,31;1 364,90;1 771,03
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;NWC Kapitał obrotowy ;4 126,40;4 154,13;4 452,95;5 084,04;6 030,78;7 015,62;8 077,29;9 760,33;10 513,72;11 640,53;11 309,27;11 001,39;4 890,54;4 456,15;4 546,41;5 089,74;5 617,65;8 667,86;9 972,65;9 940,31
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;C Środki pieniężne i pap. wart. ;2 610,14;3 602,77;3 981,52;3 909,86;4 248,54;4 373,31;4 574,51;4 883,72;4 878,25;4 835,27;4 591,32;5 204,13;4 960,54;3 711,16;3 662,82;4 258,77;5 183,34;7 054,70;7 492,55;7 185,11
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;LTL Zobowiązania długoterminowe ;1 767,77;2 176,38;2 587,61;2 844,70;2 641,25;2 797,23;3 046,30;3 303,93;3 550,95;3 908,58;3 802,48;3 802,48;3 537,12;3 786,96;3 749,90;3 568,71;3 388,02;3 223,24;3 033,18;3 173,71
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;STL Zobowiązania krótkoterminowe ;3 628,98;4 671,89;5 595,07;4 771,96;4 529,65;5 388,96;5 306,78;5 654,16;6 067,02;5 880,16;6 631,91;6 593,06;5 390,01;5 996,95;6 074,75;6 017,28;7 244,11;8 425,27;7 676,58;7 387,31
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;LTC Długoterminowe kredyty bankowe ;1 049,38;1 397,33;1 623,29;1 666,73;1 761,13;1 764,70;2 552,15;2 672,17;2 797,62;3 201,62;3 177,50;3 199,80;2 823,39;3 215,23;3 079,64;3 017,62;2 797,41;2 672,57;2 402,32;2 543,72
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;STC Krótkoterminowe kredyty bankowe ;743,29;746,38;840,95;812;861,39;756,82;1 074,06;1 043,75;1 261,26;1 355,44;1 406,96;1 169,16;975,16;1 327,72;1 460,96;1 475,78;1 564,22;1 584,02;1 487,06;1 232,83
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;INV Zapasy ;2 175,42;2 359,11;2 882,51;3 081,33;3 094,88;3 024,48;3 672,36;4 067,30;4 190,67;4 321,61;4 266,89;4 202,87;4 108,10;4 576,15;4 714,75;4 493,10;5 366,69;7 310,23;6 835,31;6 476,61
SEK_A;ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO;SEK_A ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO ;REC Należności krótkoterminowe ;3 627,54;3 747,54;4 141,39;3 889,53;4 301,02;5 049,70;6 415,48;7 707,46;9 275,21;10 390,67;10 612,91;9 842,23;3 482,49;4 119,86;4 143,06;3 750,70;4 248,32;5 051,85;5 473,23;5 387,97
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;EN Liczba jednostek gospodarczych ;1 429,00;1 423,00;1 385,00;1 306,00;1 299,00;1 255,00;1 251,00;1 101,00;1 169,00;1 159,00;1 055,00;1 028,00;955;911;875;815;780;753;733;732
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;PEN Liczba rentownych jednostek gospodarczych ;1 156,00;1 217,00;1 226,00;1 067,00;1 069,00;1 077,00;1 048,00;972;989;993;875;846;811;744;704;678;677;661;603;594
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;GS Przychody ogółem ;9 808,55;11 014,04;13 439,87;13 214,03;14 542,58;15 582,55;18 682,11;20 741,37;21 974,93;22 096,23;22 230,80;18 722,71;17 150,62;18 816,70;20 919,68;20 533,86;23 937,22;29 197,12;32 275,46;32 033,34
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;PNPM Przychody netto ;bd;9 486,06;11 189,31;11 084,85;12 583,56;13 369,06;15 832,45;17 864 280,00;19 681,56;19 504,53;20 212,92;16 700,94;15 667,65;17 297,35;19 147,22;19 013,40;22 083,86;26 600,69;30 252,39;29 762,50
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;GS (I) Przychody netto ze sprzedaży i zrównane z nimi ;8 786,13;9 666,36;11 612,93;11 473,94;12 776,97;13 527,95;16 367,22;18 427,21;19 925,77;19 864,97;20 434,00;17 094,99;15 998,41;17 604,70;19 535,64;19 099,95;22 548,95;27 667,47;30 491,43;29 896,16
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;Przych. fin. Przychody finansowe ;bd;bd;622,11;433,26;308,54;565,06;755,47;717,82;492,06;586,89;447,41;368,66;146,67;220,08;229,26;346,85;142,61;335,47;461,44;610,9
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;PPO Pozostałe przychody operacyjne ;bd;989,83;1 204,83;1 306,83;1 457,07;1 489,55;1 559,41;1 596,34;1 557,10;1 644,37;1 349,39;1 259,07;1 005,54;991,92;1 154,77;1 087,06;1 245,66;1 194,18;1 322,60;1 526,27
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;NP Wynik finansowy netto (zysk netto) ;140,51;-88,91;1 015,27;463,03;1 298,10;1 471,53;2 163,02;2 998,56;3 005,00;2 603,77;1 522,78;484,01;1 141,19;898,78;1 365,33;1 117,45;1 393,81;3 007,53;2 764,13;3 131,09
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;OP Wynik na działalności operacyjnej ;268,41;-103,08;838,34;712,81;1 521,21;1 373,78;2 140,12;2 830,93;3 281,98;4 756,36;4 348,58;1 709,71;1 491,23;1 000,56;1 531,36;1 278,38;1 530,95;3 321,44;3 044,98;3 197,84
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;POS Wynik na sprzedaży ;-119,38;-793,68;-6,25;-274,37;365,27;192,06;949,43;1 677,26;2 062,46;3 609,60;3 398,50;850,38;675,58;194;673,62;438,28;618,42;2 549,74;2 093,64;2 108,81
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;CF Nadwyżka finansowa ;1 202,17;879,98;2 103,70;1 734,01;2 551,61;2 551,19;3 631,07;4 194,28;4 590,90;3 973,36;2 733,53;1 713,57;2 162,78;1 985,34;2 489,23;2 218,05;2 458,53;4 248,69;4 114,81;4 599,49
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;TC Koszty ogółem ;9 622,44;11 053,02;12 373,49;12 661,81;13 215,01;14 003,17;16 477,90;17 593,62;18 893,98;17 335,99;17 751,27;17 005,82;15 888,25;17 877,76;19 413,76;19 306,87;22 460,66;25 906,33;29 145,78;28 529,98
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;OFE Pozostałe koszty finansowe ;267,45;153,84;234,08;385,46;303,13;178,34;489,97;171,04;474,68;286,33;147,38;176,99;46,87;56,64;38,72;66,88;51,42;80,69;68,95;49,45
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;IP Odsetki do zapłacenia ;137,14;135,78;146,59;196,95;187,01;164,81;190,97;220,4;211,25;180,17;166,91;166,59;171,01;169,11;181,22;135,63;136,75;259,28;296,92;250,62
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;DEPR Amortyzacja ;657,07;679,27;707,77;688,57;763,37;736,51;787,11;804,29;899,97;903,1;896,47;885,98;803,72;860,81;903,96;898,09;876,55;901,19;984,81;1 168,33
01.;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;01. UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ;IO Wartość nakładów inwestycyjnych ;881,42;1 029,64;1 126,05;1 076,98;958,48;1 021,22;1 350,32;1 381,17;1 396,44;1 640,77;1 403,10;1 139,63;932,54;997,58;986,16;970,99;1 011,11;1 185,93;1 312,81;1 659,75
